"Problem","Package","File","Priority","Line","Description","Rule set","Rule"
"4","com.alipay.sofa.ark.container.service.classloader","C:\Users\91768\Desktop\ood ass 2\10 Java Projects\sofa-ark-master\sofa-ark-parent\core-impl\container\src\main\java\com\alipay\sofa\ark\container\service\classloader\AbstractClasspathClassLoader.java","3","389","Avoid empty catch blocks","Error Prone","EmptyCatchBlock"
"5","com.alipay.sofa.ark.container.service.classloader","C:\Users\91768\Desktop\ood ass 2\10 Java Projects\sofa-ark-master\sofa-ark-parent\core-impl\container\src\main\java\com\alipay\sofa\ark\container\service\classloader\AbstractClasspathClassLoader.java","3","457","Avoid empty catch blocks","Error Prone","EmptyCatchBlock"
"6","com.alipay.sofa.ark.container.service.classloader","C:\Users\91768\Desktop\ood ass 2\10 Java Projects\sofa-ark-master\sofa-ark-parent\core-impl\container\src\main\java\com\alipay\sofa\ark\container\service\classloader\AbstractClasspathClassLoader.java","3","472","Avoid empty catch blocks","Error Prone","EmptyCatchBlock"
"7","com.alipay.sofa.ark.container.service.classloader","C:\Users\91768\Desktop\ood ass 2\10 Java Projects\sofa-ark-master\sofa-ark-parent\core-impl\container\src\main\java\com\alipay\sofa\ark\container\service\classloader\AbstractClasspathClassLoader.java","3","487","Avoid empty catch blocks","Error Prone","EmptyCatchBlock"
"1","com.alipay.sofa.ark.container.service.event","C:\Users\91768\Desktop\ood ass 2\10 Java Projects\sofa-ark-master\sofa-ark-parent\core-impl\container\src\main\java\com\alipay\sofa\ark\container\service\event\EventAdminServiceImpl.java","3","164","Avoid empty catch blocks","Error Prone","EmptyCatchBlock"
"1","com.alipay.sofa.ark.container.session.handler","C:\Users\91768\Desktop\ood ass 2\10 Java Projects\sofa-ark-master\sofa-ark-parent\core-impl\container\src\main\java\com\alipay\sofa\ark\container\session\handler\AbstractTerminalTypeMapping.java","3","29","This abstract class does not have any abstract methods","Best Practices","AbstractClassWithoutAbstractMethod"
"1","com.alipay.sofa.ark.container.service.biz","C:\Users\91768\Desktop\ood ass 2\10 Java Projects\sofa-ark-master\sofa-ark-parent\core-impl\container\src\test\java\com\alipay\sofa\ark\container\service\biz\BizCommandProviderTest.java","3","200","Avoid empty catch blocks","Error Prone","EmptyCatchBlock"
"1","com.alipay.sofa.ark.container.service.classloader","C:\Users\91768\Desktop\ood ass 2\10 Java Projects\sofa-ark-master\sofa-ark-parent\core-impl\container\src\test\java\com\alipay\sofa\ark\container\service\classloader\ClassLoaderConcurrencyTest.java","3","57","Avoid empty catch blocks","Error Prone","EmptyCatchBlock"
"2","com.alipay.sofa.ark.container.service.classloader","C:\Users\91768\Desktop\ood ass 2\10 Java Projects\sofa-ark-master\sofa-ark-parent\core-impl\container\src\test\java\com\alipay\sofa\ark\container\service\classloader\ClassLoaderConcurrencyTest.java","3","73","Avoid empty catch blocks","Error Prone","EmptyCatchBlock"
"1","com.alipay.sofa.ark.container.service.classloader","C:\Users\91768\Desktop\ood ass 2\10 Java Projects\sofa-ark-master\sofa-ark-parent\core-impl\container\src\test\java\com\alipay\sofa\ark\container\service\classloader\ClassLoaderServiceTest.java","3","92","Avoid empty catch blocks","Error Prone","EmptyCatchBlock"
"1","com.alipay.sofa.ark.container.service.plugin","C:\Users\91768\Desktop\ood ass 2\10 Java Projects\sofa-ark-master\sofa-ark-parent\core-impl\container\src\test\java\com\alipay\sofa\ark\container\service\plugin\PluginCommandProviderTest.java","3","92","Avoid empty catch blocks","Error Prone","EmptyCatchBlock"
"1","com.alipay.sofa.ark.common.util","C:\Users\91768\Desktop\ood ass 2\10 Java Projects\sofa-ark-master\sofa-ark-parent\core\common\src\main\java\com\alipay\sofa\ark\common\util\PortSelectUtils.java","3","52","Avoid empty catch blocks","Error Prone","EmptyCatchBlock"
"2","com.alipay.sofa.ark.common.util","C:\Users\91768\Desktop\ood ass 2\10 Java Projects\sofa-ark-master\sofa-ark-parent\core\common\src\main\java\com\alipay\sofa\ark\common\util\PortSelectUtils.java","3","67","Avoid empty catch blocks","Error Prone","EmptyCatchBlock"
"1","com.alipay.sofa.ark.common.util","C:\Users\91768\Desktop\ood ass 2\10 Java Projects\sofa-ark-master\sofa-ark-parent\core\common\src\test\java\com\alipay\sofa\ark\common\util\PortSelectUtilsTest.java","3","47","Avoid empty catch blocks","Error Prone","EmptyCatchBlock"
"2","com.alipay.sofa.ark.common.util","C:\Users\91768\Desktop\ood ass 2\10 Java Projects\sofa-ark-master\sofa-ark-parent\core\common\src\test\java\com\alipay\sofa\ark\common\util\PortSelectUtilsTest.java","3","57","Avoid empty catch blocks","Error Prone","EmptyCatchBlock"
"1","com.alipay.sofa.ark.test.springboot1","C:\Users\91768\Desktop\ood ass 2\10 Java Projects\sofa-ark-master\sofa-ark-parent\support\ark-springboot-integration\ark-compatible-springboot1\src\test\java\com\alipay\sofa\ark\test\springboot1\IntrospectBizEndpointOnArkDisabledTest.java","3","42","Avoid empty catch blocks","Error Prone","EmptyCatchBlock"
"1","com.alipay.sofa.ark.test.springboot1","C:\Users\91768\Desktop\ood ass 2\10 Java Projects\sofa-ark-master\sofa-ark-parent\support\ark-springboot-integration\ark-compatible-springboot1\src\test\java\com\alipay\sofa\ark\test\springboot1\IntrospectBizEndpointOnArkEnabledTest.java","3","47","Avoid empty catch blocks","Error Prone","EmptyCatchBlock"
"1","com.alipay.sofa.ark.test.springboot2","C:\Users\91768\Desktop\ood ass 2\10 Java Projects\sofa-ark-master\sofa-ark-parent\support\ark-springboot-integration\ark-compatible-springboot2\src\test\java\com\alipay\sofa\ark\test\springboot2\SpringBoot2IntrospectBizEndpointOnArkDisabledTest.java","3","42","Avoid empty catch blocks","Error Prone","EmptyCatchBlock"
"1","com.alipay.sofa.ark.test.springboot2","C:\Users\91768\Desktop\ood ass 2\10 Java Projects\sofa-ark-master\sofa-ark-parent\support\ark-springboot-integration\ark-compatible-springboot2\src\test\java\com\alipay\sofa\ark\test\springboot2\SpringBoot2IntrospectBizEndpointOnArkEnabledTest.java","3","47","Avoid empty catch blocks","Error Prone","EmptyCatchBlock"
"1","com.alipay.sofa.ark.springboot.web","C:\Users\91768\Desktop\ood ass 2\10 Java Projects\sofa-ark-master\sofa-ark-parent\support\ark-springboot-integration\ark-springboot-starter\src\main\java\com\alipay\sofa\ark\springboot\web\ArkTomcatServletWebServerFactory.java","3","265","Avoid empty catch blocks","Error Prone","EmptyCatchBlock"
"2","com.alipay.sofa.ark.springboot.web","C:\Users\91768\Desktop\ood ass 2\10 Java Projects\sofa-ark-master\sofa-ark-parent\support\ark-springboot-integration\ark-springboot-starter\src\main\java\com\alipay\sofa\ark\springboot\web\ArkTomcatServletWebServerFactory.java","3","313","Avoid empty catch blocks","Error Prone","EmptyCatchBlock"
"1","com.alipay.sofa.ark.springboot.web","C:\Users\91768\Desktop\ood ass 2\10 Java Projects\sofa-ark-master\sofa-ark-parent\support\ark-springboot-integration\ark-springboot-starter\src\main\java\com\alipay\sofa\ark\springboot\web\ArkTomcatWebServer.java","3","122","Avoid empty catch blocks","Error Prone","EmptyCatchBlock"
"2","com.alipay.sofa.ark.springboot.web","C:\Users\91768\Desktop\ood ass 2\10 Java Projects\sofa-ark-master\sofa-ark-parent\support\ark-springboot-integration\ark-springboot-starter\src\main\java\com\alipay\sofa\ark\springboot\web\ArkTomcatWebServer.java","3","236","Avoid empty catch blocks","Error Prone","EmptyCatchBlock"
"3","com.alipay.sofa.ark.springboot.web","C:\Users\91768\Desktop\ood ass 2\10 Java Projects\sofa-ark-master\sofa-ark-parent\support\ark-springboot-integration\ark-springboot-starter\src\main\java\com\alipay\sofa\ark\springboot\web\ArkTomcatWebServer.java","3","290","Avoid empty catch blocks","Error Prone","EmptyCatchBlock"
"1","com.alipay.sofa.ark.support.startup","C:\Users\91768\Desktop\ood ass 2\10 Java Projects\sofa-ark-master\sofa-ark-parent\support\ark-support-starter\src\main\java\com\alipay\sofa\ark\support\startup\EntryMethod.java","3","63","Avoid empty catch blocks","Error Prone","EmptyCatchBlock"
"1","com.alipay.sofa.ark.tools","C:\Users\91768\Desktop\ood ass 2\10 Java Projects\sofa-ark-master\sofa-ark-parent\support\ark-tools\src\main\java\com\alipay\sofa\ark\tools\JarWriter.java","3","176","Avoid empty catch blocks","Error Prone","EmptyCatchBlock"
"1","com.alipay.sofa.ark.tools","C:\Users\91768\Desktop\ood ass 2\10 Java Projects\sofa-ark-master\sofa-ark-parent\support\ark-tools\src\main\java\com\alipay\sofa\ark\tools\Repackager.java","3","295","Avoid empty catch blocks","Error Prone","EmptyCatchBlock"
"2","com.alipay.sofa.ark.tools","C:\Users\91768\Desktop\ood ass 2\10 Java Projects\sofa-ark-master\sofa-ark-parent\support\ark-tools\src\main\java\com\alipay\sofa\ark\tools\Repackager.java","3","331","Avoid empty catch blocks","Error Prone","EmptyCatchBlock"
"1","com.alipay.sofa.ark.config","C:\Users\91768\Desktop\ood ass 2\10 Java Projects\sofa-ark-master\sofa-ark-plugin\config-ark-plugin\src\main\java\com\alipay\sofa\ark\config\ConfigProcessor.java","3","97","Avoid empty catch blocks","Error Prone","EmptyCatchBlock"
"1","com.alipay.sofa.ark.config.zk","C:\Users\91768\Desktop\ood ass 2\10 Java Projects\sofa-ark-master\sofa-ark-plugin\config-ark-plugin\src\main\java\com\alipay\sofa\ark\config\zk\ZookeeperConfigActivator.java","3","159","Avoid empty catch blocks","Error Prone","EmptyCatchBlock"
"2","com.alipay.sofa.ark.config.zk","C:\Users\91768\Desktop\ood ass 2\10 Java Projects\sofa-ark-master\sofa-ark-plugin\config-ark-plugin\src\main\java\com\alipay\sofa\ark\config\zk\ZookeeperConfigActivator.java","3","166","Avoid empty catch blocks","Error Prone","EmptyCatchBlock"
